Start,Stop,RecRate,MutRate,AverageTmrca,NbVariants.Homogeneous,Pi.Homogeneous,NbVariants.NonHomogeneous,Pi.NonHomogeneous
1,50000,0,1.2514016,4186,153,0.000913778,149,0.000914222
50001,100000,0,0.6312512,4186,110,0.000633778,91,0.000518667
100001,150000,0,0.71013805,4186,126,0.000706222,115,0.000642222
150001,200000,0,0.7890249,4186,117,0.000709778,104,0.000623111
200001,250000,0,1.25309895,4186,129,0.000754222,130,0.000763556
250001,300000,0.1172750695,0.97195725,4186,127,0.000686222,90,0.000493333
300001,350000,0.1172750695,0.2267415,4175.73224,111,0.000663556,50,0.000276444
350001,400000,0.234550139,0.2267415,2485,92,0.000515111,38,0.000207111
400001,450000,0.234550139,0.80039475,4800.42064,150,0.000745778,125,0.000656
450001,500000,1.1141131585,0.95385365,8335.18776,194,0.00106622,125,0.000650667
500001,550000,1.1141131585,0.4588109,10922.46786,256,0.00154756,161,0.000987111
550001,600000,1.7004885045,0.764025066666667,9119.78046,271,0.00168133,267,0.00163022
600001,650000,1.7004885045,0.650651843333333,11602.20026,301,0.00198889,248,0.00163689
650001,700000,1.231388227,0.755033365,12766.84622,326,0.00227511,374,0.00250978
700001,750000,1.231388227,1.451541,9929.5771,237,0.00153911,348,0.00223511
750001,800000,1.7004885045,1.451541,10371.6683,268,0.00174933,316,0.00199689
800001,850000,1.7004885045,0.718214733333333,6424.8856,184,0.00123911,178,0.001072
850001,900000,2.6973265935,0.2127949,8999.99252,244,0.00162489,93,0.000622222
900001,950000,2.6973265935,0.2127949,20754.24592,341,0.00228533,86,0.000550222
950001,1000000,3.225064405,0.54680375,14902.25048,307,0.00193289,202,0.00121867
1000001,1050000,3.225064405,0.7958515,9773.97136,259,0.00141467,206,0.001124
1050001,1100000,3.107789336,0.7958515,21650.02624,438,0.00288667,355,0.00232222
1100001,1150000,3.107789336,1.35406325,18376.1658,427,0.00312178,648,0.004756
1150001,1200000,3.2250644055,1.912275,10563.81516,277,0.00174,500,0.00306044
1200001,1250000,3.2250644055,1.912275,17820.25,374,0.00256311,679,0.00454
1250001,1300000,2.6973265935,1.912275,15161.75704,290,0.00179867,509,0.00322711
1300001,1350000,2.6973265935,1.912275,20987.5066,384,0.00267156,661,0.00470089
1350001,1400000,1.2313882275,1.912275,16879.37576,322,0.00193422,519,0.003196
1400001,1450000,1.2313882275,1.912275,22673.0894,325,0.00207111,649,0.00407244
1450001,1500000,1.5832134355,1.2598533,34864.1809,469,0.00280178,713,0.00410622
1500001,1550000,1.5832134355,0.8312518,15341.61086,287,0.00181733,217,0.00130489
1550001,1600000,2.6973265935,1.18675133333333,23038.86472,416,0.00285911,449,0.00319289
1600001,1650000,2.6973265935,0.774774,17552.15202,342,0.00224089,284,0.00185067
1650001,1700000,2.580051524,0.774774,21721.3784,405,0.00258,312,0.00195289
1700001,1750000,2.580051524,0.774774,11027.93416,286,0.00176844,246,0.00154489
1750001,1800000,1.9936761775,0.774774,16674.58678,338,0.00223156,260,0.00178622
1800001,1850000,1.9936761775,1.120325,16583.17006,298,0.00194267,278,0.00184711
1850001,1900000,3.576889613,1.465876,12111.09096,236,0.00132978,331,0.00187378
1900001,1950000,3.576889613,1.465876,19963.4808,334,0.00215244,566,0.00356133
1950001,2000000,3.928714821,0.798840333333333,17267.08806,391,0.00275733,372,0.00246889
2000001,2050000,3.928714821,0.339206,11346.8655,210,0.00128089,103,0.000629333
2050001,2100000,2.0523137125,0.339206,16395.38436,265,0.00186489,104,0.000672889
2100001,2150000,2.0523137125,0.339206,12200.74772,282,0.00206444,143,0.000994667
2150001,2200000,2.638689059,0.339206,9595.26206,234,0.00127022,113,0.000570667
2200001,2250000,2.638689059,1.4917505,15499.9264,447,0.00270356,540,0.00334
2250001,2300000,2.638689059,2.644295,17612.79788,390,0.00280978,844,0.00605067
2300001,2350000,2.638689059,2.644295,15689.39656,288,0.00194311,718,0.004828
2350001,2400000,3.1664268705,2.644295,8513.77898,228,0.00141467,499,0.00317289
2400001,2450000,3.1664268705,1.52996565,15096.04998,312,0.00216133,422,0.00311689
2450001,2500000,3.6355271475,0.4156363,17152.215,379,0.00233733,181,0.00108356
2500001,2550000,3.6355271475,0.84680065,19055.00584,342,0.00202533,356,0.00199467
2550001,2600000,2.580051524,1.277965,14065.27754,372,0.00223467,472,0.00285111
2600001,2650000,2.580051524,1.277965,19671.92406,380,0.00239244,522,0.00320622
2650001,2700000,4.1632649595,1.277965,17441.22622,370,0.00225733,387,0.00239111
2700001,2750000,4.1632649595,1.7788195,24929.1416,423,0.00312311,834,0.00599244
2750001,2800000,3.9873523555,2.279674,15223.90032,336,0.00244667,628,0.00455244
2800001,2850000,3.9873523555,2.279674,13514.70664,225,0.001108,473,0.00236222
2850001,2900000,1.583213435,1.60392955,9206.63932,174,0.000892444,204,0.00110578
2900001,2950000,1.583213435,0.9281851,7894.47102,139,0.000855111,127,0.000803111
2950001,3000000,0.9968380885,0.9281851,11070.63984,273,0.00211333,246,0.00189244
3000001,3050000,0.9968380885,0.76461515,9615.41326,235,0.00149422,151,0.000973778
3050001,3100000,3.987352355,0.6010452,7106.93398,189,0.00104756,139,0.000733333
3100001,3150000,3.987352355,0.3971077,17818.09316,397,0.00259511,113,0.000736
3150001,3200000,4.6323652365,0.597307733333333,24939.23802,477,0.00305778,334,0.00218356
3200001,3250000,4.6323652365,0.619768,15174.65286,268,0.001908,170,0.00114089
3250001,3300000,2.345501386,0.619768,13532.01958,295,0.00225956,197,0.00145244
3300001,3350000,2.345501386,1.1622495,16807.24994,304,0.00231067,373,0.00288133
3350001,3400000,3.6941646825,0.9302847,17632.25164,389,0.00238089,524,0.00324711
3400001,3450000,3.6941646825,0.2452515,24787.43592,449,0.00318444,121,0.000800889
3450001,3500000,4.6323652365,0.3346646,15838.38796,407,0.00248978,190,0.00112222
3500001,3550000,4.6323652365,0.3346646,15115.2179,394,0.00247644,204,0.00126089
3550001,3600000,3.049151801,0.44534345,16102.6718,318,0.002052,131,0.000829333
3600001,3650000,3.049151801,0.88325015,12347.30586,257,0.00160267,280,0.00167467
3650001,3700000,2.755964128,0.7419112,8593.84264,247,0.00136133,250,0.00145911
3700001,3750000,2.755964128,0.470410166666667,10557.43872,260,0.00131556,141,0.000744889
3750001,3800000,5.570565791,1.94703585,16673.17632,364,0.00227556,453,0.00300578
3800001,3850000,5.570565791,3.467802,24197.7535,400,0.00285378,1237,0.00861911
3850001,3900000,7.446966899,3.467802,24410.84374,407,0.00289111,1303,0.00948044
3900001,3950000,7.446966899,3.467802,28039.5938,475,0.00320133,1512,0.010224
3950001,4000000,7.0365041565,3.467802,34953.41944,615,0.00420844,1935,0.0133884
4000001,4050000,7.0365041565,1.956132,31624.80456,486,0.00349556,733,0.00508978
4050001,4100000,5.1601030485,0.7234595,33327.83516,542,0.004148,245,0.00180311
4100001,4150000,5.1601030485,1.002457,24004.45448,418,0.00279733,443,0.002992
4150001,4200000,5.4532907215,1.0700065,22207.1036,469,0.00309733,531,0.00354
4200001,4250000,5.4532907215,1.137556,24236.98042,497,0.00351422,565,0.00386089
4250001,4300000,6.508766345,0.9774381,29971.4252,436,0.00303467,394,0.00282711
4300001,4350000,6.508766345,0.6404393,24568.86966,527,0.00318578,395,0.00234756
4350001,4400000,4.92555291,0.6404393,23023.44606,487,0.00326711,321,0.00209289
4400001,4450000,4.92555291,0.6404393,19863.90374,434,0.00287022,315,0.00202711
4450001,4500000,2.9905142665,0.6404393,15026.86228,423,0.00272622,308,0.00185511
4500001,4550000,2.9905142665,1.52780265,13247.40798,375,0.00237778,330,0.00208533
4550001,4600000,1.8177635735,2.415166,11674.74366,267,0.00186444,557,0.00399333
4600001,4650000,1.8177635735,2.415166,13842.92668,276,0.00191289,612,0.00435422
4650001,4700000,3.4596145435,2.415166,10131.52386,286,0.00172667,691,0.00415956
4700001,4750000,3.4596145435,2.415166,21279.30244,406,0.00264444,850,0.00550089
4750001,4800000,7.3296918295,2.415166,29698.88362,447,0.00323333,1045,0.007604
4800001,4850000,7.3296918295,2.415166,24319.99264,514,0.00335956,1144,0.00761556
4850001,4900000,7.916067176,2.415166,25688.00716,490,0.00358178,1060,0.00766178
4900001,4950000,7.916067176,2.415166,18422.60684,357,0.00211067,719,0.00430489
4950001,5000000,5.9223909985,1.22802906666667,16987.1973,444,0.00303156,364,0.00249156
5000001,5050000,5.9223909985,0.6530702,20071.76246,439,0.00290578,330,0.002148
5050001,5100000,4.515090167,0.6530702,18836.68776,394,0.00261556,242,0.00157689
5100001,5150000,4.515090167,0.69930255,13367.17244,321,0.002004,263,0.00167644
5150001,5200000,5.2773781175,0.7266807,14007.26768,358,0.002276,275,0.00175467
5200001,5250000,5.2773781175,0.45990085,21530.48752,378,0.00257067,166,0.00106756
5250001,5300000,4.4564526325,0.2119752,19703.22118,439,0.00300044,161,0.00111067
5300001,5350000,4.4564526325,0.8055386,10824.62194,289,0.001744,195,0.00122222
5350001,5400000,2.521413989,1.399102,13624.45782,255,0.00141156,348,0.002
5400001,5450000,2.521413989,0.81423085,26314.61234,401,0.00288222,542,0.00385244
5450001,5500000,3.694164682,0.2293597,29055.62968,444,0.00327378,121,0.000866667
5500001,5550000,3.694164682,0.2293597,16614.02908,471,0.00307911,227,0.00144044
5550001,5600000,3.1664268705,0.4649239,21382.99918,409,0.00267822,222,0.00138756
5600001,5650000,3.1664268705,0.654879433333333,18250.97328,409,0.00259556,193,0.00116711
5650001,5700000,1.7004885045,0.4180762,26917.62224,466,0.00338756,208,0.00144222
5700001,5750000,1.7004885045,0.8878133,12270.0293,276,0.001488,272,0.00140133
5750001,5800000,1.4073008315,1.5424905,11303.84278,241,0.001456,365,0.00214578
5800001,5850000,1.4073008315,1.671608,19426.67816,391,0.00283156,646,0.00489556
5850001,5900000,1.8764011085,1.768059,11233.07682,159,0.000953778,251,0.00171244
5900001,5950000,1.8764011085,1.2364544,5851.50758,177,0.000961333,144,0.000789778
5950001,6000000,2.286863851,0.76515355,16022.97788,389,0.00223289,331,0.00196356
6000001,6050000,2.286863851,0.7065131,10807.63854,352,0.002032,284,0.00172222
6050001,6100000,1.817763574,0.87765295,17981.97074,361,0.00215956,288,0.00180889
6100001,6150000,1.817763574,0.83571035,6497.58452,167,0.000926222,130,0.000751556
6150001,6200000,2.931876732,0.5036837,13937.11804,260,0.00156978,120,0.000693778
6200001,6250000,2.931876732,0.5036837,20040.35182,402,0.00256222,210,0.00134044
6250001,6300000,3.8114397515,0.5036837,23962.8017,381,0.00264978,211,0.00152267
6300001,6350000,3.8114397515,0.5036837,17349.18232,359,0.00237022,210,0.00135733
6350001,6400000,3.518252078,0.5036837,16714.96658,382,0.00258311,228,0.00150578
6400001,6450000,3.518252078,0.5036837,11203.29864,350,0.00212267,215,0.00128667
6450001,6500000,3.694164682,0.90824785,12192.2434,318,0.00204133,300,0.00193689
6500001,6550000,3.694164682,1.312812,14872.3315,259,0.00159911,357,0.00227244
6550001,6600000,3.576889613,1.312812,20441.89176,406,0.00270356,509,0.00333867
6600001,6650000,3.576889613,1.4976025,15343.34882,334,0.00221911,421,0.00273733
