Start,Stop,AverageTmrca
0,1000000,6705.459483
1000000,2000000,16556.280735
2000000,3000000,14637.631085
3000000,4000000,17139.912400
4000000,5000000,19846.970979
5000000,6000000,16750.389263
6000000,7000000,13862.146180
7000000,8000000,16407.121712
8000000,9000000,16711.268021
9000000,10000000,15367.973147
10000000,11000000,16852.134814
11000000,12000000,16369.191912
12000000,13000000,17716.029841
13000000,14000000,12659.320554
14000000,15000000,15904.930849
15000000,16000000,11563.146210
16000000,17000000,15590.973020
17000000,18000000,10472.328506
18000000,19000000,6379.005829
19000000,20000000,5333.257484
20000000,21000000,6372.496736
21000000,22000000,3112.986416
22000000,23000000,6992.118548
23000000,23510001,7218.000000
