Start,Stop,Rate
1,1000000,0.795020773888889
1000001,2000000,1.03025923333333
2000001,3000000,1.31416023333333
3000001,4000000,0.868708592857143
4000001,5000000,1.28123583333333
5000001,6000000,0.821695123529412
6000001,7000000,1.02545252727273
7000001,8000000,0.808397253333333
8000001,9000000,0.7231038875
9000001,10000000,1.34090943846154
10000001,11000000,1.38035375882353
11000001,12000000,1.34010856
12000001,13000000,1.15827706
13000001,14000000,1.052703282
14000001,15000000,1.13201126666667
15000001,16000000,0.85732375
16000001,17000000,1.26413372
17000001,18000000,1.15135194444444
18000001,19000000,1.06192917
19000001,20000000,1.25442815
20000001,21000000,1.2703496375
21000001,22000000,0.84917254
22000001,23000000,1.14232
23000001,24000000,1.11279621428571
