Start,Stop,RecRate,MutRate,AverageTmrca,NbVariants.Homogeneous,Pi.Homogeneous,NbVariants.NonHomogeneous,Pi.NonHomogeneous
1,50000,1e-09,0.5869804,59448.71552,850,0.005752,506,0.00335111
50001,100000,1e-09,0.610696352086,26775.7061,430,0.00268489,216,0.00133244
100001,150000,1e-09,0.446480671168,38464.0498,592,0.00468133,275,0.00205067
150001,200000,1e-09,0.730803120304,54087.67558,746,0.00497689,581,0.00356711
200001,250000,1e-09,1.047316,46101.547,621,0.00483156,687,0.00536756
250001,300000,1e-09,1.012073610034,37063.00658,575,0.00355867,597,0.00380311
300001,350000,1e-09,0.9826297,48494.74418,710,0.00479289,647,0.00444889
350001,400000,1e-09,0.9826297,39180.60634,661,0.00424044,667,0.00436933
400001,450000,1e-09,0.9826297,51571.8204,744,0.00512978,725,0.00498578
450001,500000,1e-09,0.9826297,24600.73208,455,0.00299067,431,0.002756
500001,550000,1e-09,0.948959890286,42337.13874,693,0.00496222,688,0.00498489
550001,600000,1e-09,0.2303076,36346.13618,563,0.00429556,133,0.000981778
600001,650000,1e-09,0.2303076,22162.43296,333,0.00238533,62,0.000399111
650001,700000,1e-09,0.992852320688,39955.44104,519,0.00323156,556,0.00321156
700001,750000,1e-09,1.120694,37644.78552,495,0.00385067,582,0.004444
750001,800000,1e-09,1.120694,23377.60468,472,0.00294222,496,0.00313156
800001,850000,1e-09,1.120694,28393.82602,462,0.00328044,520,0.00364889
850001,900000,1e-09,0.873028312296,43830.6876,661,0.00430178,622,0.00410178
900001,950000,1e-09,0.504231462472,41659.24688,531,0.00317333,280,0.001748
950001,1000000,1e-09,0.6844574,44218.0205,621,0.00454267,456,0.00328044
1000001,1050000,1e-09,0.6844574,33549.9693,469,0.00267956,293,0.00166356
1050001,1100000,1e-09,0.940687754302,21668.42244,438,0.00303422,352,0.00247111
1100001,1150000,1e-09,0.892755156704,29357.00056,551,0.00408622,498,0.00372044
1150001,1200000,1e-09,0.5860459544,48446.19428,697,0.00476311,409,0.00294311
1200001,1250000,1e-09,1.001123072414,42443.4635,608,0.00434222,591,0.00412933
1250001,1300000,1e-09,1.465715,48530.57736,728,0.00517911,1030,0.00742089
1300001,1350000,1e-09,1.33293849408,29658.33412,484,0.00332978,614,0.00429911
1350001,1400000,1e-09,1.277497,47526.58532,649,0.00445333,810,0.00548933
1400001,1450000,1e-09,1.277497,31645.3697,500,0.00303156,644,0.003908
1450001,1500000,1e-09,1.35549454816,40742.16304,679,0.00427333,942,0.00582756
1500001,1550000,1e-09,1.193336421184,34234.01146,482,0.00258222,593,0.00326933
1550001,1600000,1e-09,0.9139074,12712.2159,233,0.00130089,214,0.00115911
1600001,1650000,1e-09,0.9139074,41185.96532,571,0.00369422,551,0.00359422
1650001,1700000,1e-09,0.9139074,35998.11904,685,0.00435467,649,0.00421511
1700001,1750000,1e-09,0.923238754618,30634.62578,560,0.00402044,525,0.003756
1750001,1800000,1e-09,0.930663921302,33652.96746,546,0.00368889,523,0.00362222
1800001,1850000,1e-09,0.3496838,41275.27334,642,0.004468,261,0.00187644
1850001,1900000,1e-09,0.595546762176,38796.77402,601,0.00379556,363,0.00258089
1900001,1950000,1e-09,1.152423,33375.59482,540,0.00428711,637,0.00493689
1950001,2000000,1e-09,1.152423,55772.48772,781,0.00491422,846,0.00535422
2000001,2050000,1e-09,1.152423,32030.3035,550,0.00348133,607,0.003808
2050001,2100000,1e-09,1.152423,54268.4383,814,0.00589111,951,0.00708222
2100001,2150000,1e-09,1.15019518102,44321.8442,704,0.00540533,796,0.00624578
2150001,2200000,1e-09,1.099158,27662.57542,433,0.00276222,487,0.00322133
2200001,2250000,1e-09,0.88941956329,41696.40998,640,0.00425556,538,0.00350044
2250001,2300000,1e-09,0.1868551,39052.161,529,0.00416133,104,0.000784889
2300001,2350000,1e-09,0.1868551,24772.65314,325,0.00278711,61,0.000528444
2350001,2400000,1e-09,0.272096913592,18093.17224,338,0.00222978,105,0.000669778
2400001,2450000,1e-09,0.706987651326,43461.47698,668,0.00510356,519,0.00390444
2450001,2500000,1e-09,0.8307142,47418.24174,707,0.00587333,567,0.004672
2500001,2550000,1e-09,0.8307142,30443.77244,542,0.00373067,440,0.00305289
2550001,2600000,1e-09,1.364944940864,36008.8785,567,0.00373733,787,0.00526711
2600001,2650000,1e-09,1.410593,38289.6153,608,0.00463467,789,0.00607778
2650001,2700000,1e-09,1.410593,31352.83484,558,0.00390311,659,0.00462844
2700001,2750000,1e-09,1.410593,25971.09838,369,0.0026,498,0.00349244
2750001,2800000,1e-09,1.410593,29616.06436,499,0.00364489,722,0.00528311
2800001,2850000,1e-09,1.410593,40702.6056,574,0.00485244,888,0.00745867
2850001,2900000,1e-09,1.410593,45532.8733,634,0.00501822,936,0.00747867
2900001,2950000,1e-09,1.410593,52921.7628,761,0.006064,1093,0.00871822
2950001,3000000,1e-09,1.410593,31490.54508,522,0.00349067,825,0.00550267
