Pos,Div1,Div2,Div3
0,18371.487333,18371.487333,19031.005392
50083,18831.667403,18831.667403,18703.465556
100166,19405.862596,19405.862596,19328.514843
150250,19453.926326,19453.926326,19376.505961
200333,19380.697701,19380.697701,19236.237144
250417,18035.396740,18035.396740,19279.601220
300500,15504.202327,15504.202327,17483.373685
350584,15908.469855,15908.469855,16036.439033
400667,17272.596259,17272.596259,18749.941179
450751,26832.390285,26832.390285,44815.544421
500834,47665.229028,47665.229028,55899.088374
550918,43835.047798,43835.047798,46478.956022
601001,36611.456793,36611.456793,29850.690924
651085,29299.192445,29299.192445,19957.963951
701168,18033.610172,18033.610172,9945.501191
751252,13735.479656,13735.479656,10612.558692
801335,14010.018850,14010.018850,11680.266667
851419,15146.355487,15146.355487,10658.429665
901502,17609.785134,17609.785134,10193.313330
951586,24468.732029,24468.732029,17511.937565
1001669,27417.322510,27417.322510,19389.217926
1051752,24875.792522,24875.792522,20277.932682
1101836,21357.572118,21357.572118,20688.361338
1151919,27605.612008,27605.612008,26474.490911
1202003,44734.566666,44734.566666,43404.789403
1252086,41477.350179,41477.350179,40414.440761
1302170,28546.057755,28546.057755,26206.537154
1352253,20674.062357,20674.062357,20595.494017
1402337,20039.109970,20039.109970,21032.553662
1452420,16484.494436,16484.494436,19077.609325
1502504,15703.588273,15703.588273,17535.282733
1552587,18049.336282,18049.336282,19126.208565
1602671,20123.231550,20123.231550,19623.177724
1652754,17837.916631,17837.916631,13896.966547
1702838,17298.674187,17298.674187,13790.355556
1752921,15234.416764,15234.416764,13836.689786
1803005,16475.553312,16475.553312,15673.818553
1853088,16220.788676,16220.788676,15266.001206
1903172,18038.755128,18038.755128,17564.824948
1953255,16492.376153,16492.376153,15664.608281
2003338,19398.132947,19398.132947,18994.011872
2053422,32958.422310,32958.422310,34164.606070
2103505,33322.854921,33322.854921,35278.582822
2153589,42891.220529,42891.220529,43890.173302
2203672,36608.440338,36608.440338,37767.290264
2253756,27588.992282,27588.992282,25264.212156
2303839,42576.233298,42576.233298,34818.936780
2353923,44019.043648,44019.043648,37895.227873
2404006,48376.456684,48376.456684,34967.603821
2454090,40037.809282,40037.809282,25730.781103
2504173,18236.800313,18236.800313,17779.011892
2554257,19377.153773,19377.153773,14706.640206
2604340,24350.378749,24350.378749,33221.660251
2654424,23921.447037,23921.447037,23716.916865
2704507,23277.976586,23277.976586,14470.711111
2754591,23461.269229,23461.269229,23130.855256
2804674,22901.889510,22901.889510,23432.625909
2854758,19787.598299,19787.598299,18993.560829
2904841,27689.183295,27689.183295,21981.703063
2954924,33532.177723,33532.177723,25384.759060
3005008,28857.456692,28857.456692,35006.949598
3055091,30240.005586,30240.005586,30316.266773
3105175,37105.765645,37105.765645,45966.837246
3155258,27896.566543,27896.566543,27099.854299
3205342,28475.543423,28475.543423,23569.445712
3255425,36196.639960,36196.639960,29609.951967
3305509,41453.980842,41453.980842,47978.859526
3355592,32463.134530,32463.134530,36201.990670
3405676,30720.604627,30720.604627,31552.614329
3455759,25258.831735,25258.831735,25293.756184
3505843,21892.771290,21892.771290,22369.526044
3555926,22679.503211,22679.503211,23174.216481
3606010,19966.868102,19966.868102,21290.138829
3656093,17406.510095,17406.510095,18879.429548
3706177,14607.640112,14607.640112,18738.569371
3756260,12432.407757,12432.407757,17622.666667
3806344,12387.695302,12387.695302,17622.666667
3856427,19292.594794,19292.594794,27900.856528
3906510,24763.341198,24763.341198,34877.492774
3956594,32973.190422,32973.190422,37597.337862
4006677,31046.050971,31046.050971,34279.287673
4056761,30397.758712,30397.758712,32105.446122
4106844,33423.499489,33423.499489,31801.244095
4156928,34984.488906,34984.488906,30734.499315
4207011,36124.452412,36124.452412,30444.762299
4257095,28468.930260,28468.930260,27098.859772
4307178,25696.313903,25696.313903,30263.557758
4357262,29290.531473,29290.531473,30842.020056
4407345,33061.282952,33061.282952,28377.790406
4457429,28173.957942,28173.957942,10809.193481
4507512,21897.296289,21897.296289,9451.207724
4557596,22962.532282,22962.532282,14383.654565
4607679,29834.284394,29834.284394,18473.339842
4657763,42430.008897,42430.008897,24644.085915
4707846,46676.928766,46676.928766,25564.314782
4757930,36185.983732,36185.983732,25122.140059
4808013,31289.160896,31289.160896,27818.280285
4858096,26581.828326,26581.828326,23710.094376
4908180,23888.360374,23888.360374,22539.442782
4958263,24927.962915,24927.962915,25067.115582
5008347,37441.690585,37441.690585,35178.596821
5058430,31506.002066,31506.002066,35739.957308
5108514,30651.350855,30651.350855,31703.981412
5158597,35922.882877,35922.882877,28192.739621
5208681,32789.682290,32789.682290,35986.338527
5258764,30734.479326,30734.479326,29791.953709
5308848,28803.622749,28803.622749,30253.165044
5358931,33328.949047,33328.949047,31367.029205
5409015,43214.063475,43214.063475,44535.629643
5459098,35727.828737,35727.828737,41021.091756
5509182,43901.350762,43901.350762,43845.724623
5559265,41039.974468,41039.974468,36340.483173
5609349,25048.428026,25048.428026,27530.387060
5659432,26565.752163,26565.752163,24859.463973
5709516,34718.986109,34718.986109,35258.073073
5759599,50585.378164,50585.378164,42011.333854
5809682,39338.215977,39338.215977,31178.412041
5859766,36733.330476,36733.330476,39250.820330
5909849,45613.562714,45613.562714,50265.881041
5959933,31691.516717,31691.516717,24540.374788
6010016,20830.225840,20830.225840,23535.154269
6060100,28928.439388,28928.439388,20664.346057
6110183,37172.685036,37172.685036,26581.996161
6160267,32976.129939,32976.129939,33845.947139
6210350,51183.473794,51183.473794,53609.283312
6260434,33820.941809,33820.941809,37369.396662
6310517,42121.023475,42121.023475,37136.179121
6360601,32158.455686,32158.455686,31304.597067
6410684,48445.115005,48445.115005,53267.723541
6460768,49439.357658,49439.357658,56146.528405
6510851,47980.850558,47980.850558,53755.872133
6560935,41118.535644,41118.535644,38796.160250
6611018,36866.724553,36866.724553,33889.645621
6661102,29390.306948,29390.306948,30567.033593
6711185,44304.141647,44304.141647,39938.719677
6761269,44097.009474,44097.009474,43833.136310
6811352,47778.956707,47778.956707,51516.906927
6861435,42859.495898,42859.495898,43738.750823
6911519,43662.403345,43662.403345,42519.386563
6961602,41431.322709,41431.322709,38698.002921
7011686,40499.090330,40499.090330,46143.689672
7061769,42634.322238,42634.322238,46835.751299
7111853,44274.044529,44274.044529,40847.887563
7161936,47418.105656,47418.105656,43703.251261
7212020,41291.891181,41291.891181,34939.578245
7262103,42758.504981,42758.504981,36813.929637
7312187,43820.467229,43820.467229,47807.661887
7362270,41827.431769,41827.431769,49513.701578
7412354,36902.290887,36902.290887,36938.664527
7462437,40353.218830,40353.218830,41785.406894
7512521,45482.588566,45482.588566,42751.535068
7562604,33421.821797,33421.821797,38553.372439
7612688,34624.897957,34624.897957,38414.561663
7662771,36454.915292,36454.915292,39486.374007
7712855,41198.844467,41198.844467,40324.644032
7762938,50653.992574,50653.992574,43625.671215
7813021,32719.805982,32719.805982,27245.929566
7863105,41576.826981,41576.826981,41667.994005
7913188,52548.636729,52548.636729,54188.939463
7963272,34686.323353,34686.323353,33903.849381
8013355,29848.783681,29848.783681,28919.782160
8063439,33325.878891,33325.878891,32124.378781
8113522,39907.170135,39907.170135,43174.341467
8163606,43555.816239,43555.816239,46098.524986
8213689,36885.403162,36885.403162,35321.223243
8263773,40427.913432,40427.913432,31652.211402
8313856,39866.641714,39866.641714,40087.886751
8363940,26473.742704,26473.742704,27200.532101
8414023,39682.094540,39682.094540,38453.145794
8464107,30480.421122,30480.421122,22058.357899
8514190,40898.817844,40898.817844,31222.123256
8564274,36241.012192,36241.012192,34939.932538
8614357,40805.903972,40805.903972,38159.262397
8664441,36719.139912,36719.139912,37532.847738
8714524,42474.091119,42474.091119,44021.365440
8764607,37242.419033,37242.419033,39784.406220
8814691,33293.310660,33293.310660,35452.695173
8864774,33451.028962,33451.028962,28295.870063
8914858,30796.904378,30796.904378,26534.021144
8964941,48403.358400,48403.358400,43628.971329
9015025,38204.467318,38204.467318,38806.642336
9065108,32495.205338,32495.205338,34898.849936
9115192,38787.845055,38787.845055,37676.825542
9165275,42024.033718,42024.033718,47050.545992
9215359,32232.628484,32232.628484,30831.696005
9265442,42102.282279,42102.282279,41735.563668
9315526,28632.918062,28632.918062,30619.116124
9365609,31884.393267,31884.393267,25674.892263
9415693,26642.481872,26642.481872,29318.239893
9465776,29747.494257,29747.494257,30994.913476
9515860,41149.947297,41149.947297,38609.922499
9565943,39474.850782,39474.850782,39391.382141
9616027,43071.984791,43071.984791,49192.459549
9666110,36921.236262,36921.236262,38331.864223
9716193,29131.759194,29131.759194,29540.509756
9766277,37148.032563,37148.032563,35837.912720
9816360,34385.125845,34385.125845,39671.597818
9866444,32620.472998,32620.472998,32206.523925
9916527,44947.693158,44947.693158,42326.601213
9966611,25528.545702,25528.545702,23988.886562
10016694,15932.538131,15932.538131,13811.099098
10066778,19442.273847,19442.273847,19138.107921
10116861,33868.229561,33868.229561,37196.569526
10166945,26958.745293,26958.745293,28375.359011
10217028,36586.306832,36586.306832,41329.034825
10267112,19188.261716,19188.261716,20514.430143
10317195,14420.827323,14420.827323,15691.719795
10367279,14653.345676,14653.345676,15544.563851
10417362,15666.881674,15666.881674,16543.136063
10467446,13873.908482,13873.908482,14306.623804
10517529,14567.531327,14567.531327,14632.622222
10567613,17472.556230,17472.556230,14820.873805
10617696,18229.151827,18229.151827,15108.622222
10667779,20091.140984,20091.140984,19623.088803
10717863,44248.060357,44248.060357,38059.462901
10767946,58395.618952,58395.618952,54150.267169
10818030,15829.320453,15829.320453,14185.927377
10868113,11931.462167,11931.462167,9670.042609
10918197,13984.545410,13984.545410,8384.728185
10968280,24970.052825,24970.052825,19432.149006
11018364,29335.885673,29335.885673,27507.362829
11068447,23771.137152,23771.137152,24777.094262
11118531,24374.735908,24374.735908,25632.222222
11168614,23395.953443,23395.953443,25917.434896
11218698,24097.901680,24097.901680,24060.938797
11268781,22204.747453,22204.747453,20766.431817
11318865,17511.617546,17511.617546,17636.073553
11368948,18601.767419,18601.767419,17262.364698
11419032,20033.556418,20033.556418,20559.979083
11469115,19740.000217,19740.000217,21181.371460
11519199,20663.819126,20663.819126,24173.449811
11569282,27513.941837,27513.941837,36458.476671
11619365,18767.892864,18767.892864,19250.545650
11669449,26793.523822,26793.523822,28535.682356
11719532,22308.837589,22308.837589,22356.930585
11769616,30316.853085,30316.853085,30513.011013
11819699,19943.299790,19943.299790,14706.799265
11869783,23778.365961,23778.365961,16327.529255
