Start,Stop,AverageTmrca
0,200000,42367.901250
200000,400000,28702.596655
400000,600000,12668.782250
600000,800000,12510.370030
800000,1000000,12379.341400
1000000,1200000,18689.430945
1200000,1400000,13485.837485
1400000,1600000,16395.865715
1600000,1800000,13105.533390
1800000,2000000,19837.439805
2000000,2200000,26876.290240
2200000,2400000,23085.815645
2400000,2600000,13297.995110
2600000,2800000,14017.325300
2800000,3000000,23011.036975
3000000,3200000,25293.718600
3200000,3400000,24750.148040
3400000,3600000,18966.594360
3600000,3800000,19704.834730
3800000,4000000,32189.401470
4000000,4200000,31035.465190
4200000,4400000,41285.302090
4400000,4600000,31896.427995
4600000,4800000,21076.826765
4800000,5000000,23718.819440
5000000,5200000,35663.267745
5200000,5400000,34642.390235
5400000,5600000,23300.331235
5600000,5800000,29803.145460
5800000,6000000,30338.124720
6000000,6200000,37393.603795
6200000,6400000,40266.305850
6400000,6600000,35678.298180
6600000,6800000,36742.675900
6800000,7000000,34992.847705
7000000,7200000,32573.009470
7200000,7400000,28070.873265
7400000,7600000,38733.911090
7600000,7800000,19484.209120
7800000,8000000,34462.147910
8000000,8200000,30527.528015
8200000,8400000,38510.855865
8400000,8600000,36008.601695
8600000,8800000,30223.218945
8800000,9000000,31547.290840
9000000,9200000,35344.291250
9200000,9400000,32416.433070
9400000,9600000,35074.970525
9600000,9800000,35281.287435
9800000,10000000,31899.017175
10000000,10200000,32689.078010
10200000,10400000,22837.701385
10400000,10600000,18803.002180
10600000,10800000,37084.880815
10800000,11000000,38005.261820
11000000,11200000,25641.662625
11200000,11400000,14547.419560
11400000,11600000,9644.609705
11600000,11800000,10443.210815
11800000,12000000,10823.350885
12000000,12200000,14301.184645
12200000,12400000,16313.687620
12400000,12600000,21520.636915
12600000,12800000,29981.926275
12800000,13000000,31314.353825
13000000,13200000,40541.439790
13200000,13400000,32906.276960
13400000,13600000,16279.406805
13600000,13800000,11347.702690
13800000,14000000,10494.416445
14000000,14200000,4358.096465
14200000,14400000,7506.650050
14400000,14600000,9979.000000
14600000,14800000,9979.000000
14800000,15000000,13116.913295
15000000,15200000,33499.906340
15200000,15400000,36719.186585
15400000,15600000,38081.910615
15600000,15800000,30548.630980
15800000,16000000,43458.275000
16000000,16200000,32569.369150
16200000,16400000,30675.026330
16400000,16600000,35127.294395
16600000,16800000,34525.392420
16800000,17000000,30142.751345
17000000,17200000,33392.553150
17200000,17400000,28277.197355
17400000,17600000,31130.661220
17600000,17800000,28343.597500
17800000,18000000,35297.099935
18000000,18200000,39905.616025
18200000,18400000,38640.619730
18400000,18600000,24245.965300
18600000,18800000,35818.099555
18800000,19000000,36748.754035
19000000,19200000,33858.537165
19200000,19400000,34853.680840
19400000,19600000,29380.219110
19600000,19800000,29607.103975
19800000,20000000,29330.791050
20000000,20200000,21115.089050
20200000,20400000,39457.269630
20400000,20600000,24737.924795
20600000,20800000,32978.832990
20800000,21000000,26744.489935
21000000,21200000,32808.367095
21200000,21400000,25493.859170
21400000,21600000,12801.782690
21600000,21800000,10100.553380
21800000,22000000,27389.969180
22000000,22200000,13455.133550
22200000,22400000,13415.905480
22400000,22600000,21087.027550
22600000,22800000,27923.952615
22800000,23000000,18929.934785
23000000,23200000,16100.529610
23200000,23400000,29335.186720
23400000,23600000,19679.811700
23600000,23800000,11577.318685
23800000,24000000,26676.999540
24000000,24200000,53457.052560
24200000,24400000,44789.451160
24400000,24600000,27259.479100
24600000,24800000,14453.437955
24800000,25000000,19506.834380
25000000,25200000,29236.826260
25200000,25400000,39413.827510
25400000,25600000,38383.726280
25600000,25800000,35981.227100
25800000,26000000,33854.700525
26000000,26200000,31457.700360
26200000,26400000,35542.455860
26400000,26600000,35716.433065
26600000,26800000,29350.181365
26800000,27000000,37117.568095
27000000,27200000,39086.716560
27200000,27400000,44728.599255
27400000,27600000,30623.257970
27600000,27800000,31931.790830
27800000,28000000,34572.557575
28000000,28200000,40250.800895
28200000,28400000,25978.397515
28400000,28600000,28133.232505
28600000,28800000,28073.292170
28800000,29000000,33823.396905
29000000,29200000,34285.251345
29200000,29400000,27304.365155
29400000,29600000,31963.667150
29600000,29800000,35852.400255
29800000,30000000,42581.250260
30000000,30000001,48336.000000
