Pos,RelRate
0,0.5869804
96189,0.8981317
105216,0.3938768
174219,1.047316
272759,0.9826297
523147,2.251108
532311,0.2303076
657179,1.120694
882074,0.4298938
935399,0.6844574
1057113,0.9831847
1142513,0.3792743
1177517,0.8391143
1209349,1.011736
1247614,1.465715
1314728,1.277497
1469976,1.407389
1528312,0.9139074
1744583,1.340017
1744789,0.9865977
1795609,0.3496838
1884686,1.152423
2118883,1.25825
2128601,1.099158
2238505,0.1868551
2389662,0.5991293
2426713,0.8307142
2553936,1.410593
3141967,0.08839074
3158368,1.054705
3254721,0.8594045
3258572,0.747379
3342911,1.067186
3521437,0.6259846
3526834,0.7136681
3542504,0.845366
3547954,0.6042746
3604322,0.3270026
3779397,0.9357198
3831164,0.2682389
3880955,0.7411516
3894821,0.2928887
3941212,1.516609
4119068,0.2266779
4150575,1.285895
4280350,0.7238418
4319171,0.3884067
4399059,0.468389
4416691,2.583359
4481635,1.434489
4508927,0.5404616
4523025,0.5814813
4578708,1.226233
4583813,1.298899
4614618,0.9197205
4622283,0.9918806
4673206,0.3972279
4742477,1.777665
4778250,1.37446
5038820,0.7955176
5446086,0.7100911
5620470,1.052477
5655207,0.6278294
5686541,0.8833816
5753552,0.7418623
5782686,0.3853778
5822873,0.5697595
5849289,0.7989826
5960489,2.458631
5967598,1.444823
6011652,0.5985138
6049546,0.8108909
6092706,0.2741262
6123734,1.080103
6254941,0.5760811
6271497,0.504271
6272658,0.8252944
6365982,0.7562977
6488199,0.2944907
6585240,1.129902
6792236,1.369023
6869332,1.9335
6969789,1.015707
7021026,1.110934
7073862,1.184841
7221238,1.260067
7407046,1.069709
7412249,1.744168
7439945,0.3994906
7484223,0.4651725
7526266,0.5000155
7593254,1.291792
7624769,0.4789113
7641916,1.224511
7665105,1.285288
7685342,0.4282779
7814895,1.064352
7914366,1.172423
8003242,3.281405
8089485,0.6567213
8255439,0.6454249
8295771,0.5183073
8331143,1.413286
8334420,0.6072578
8342290,0.3149761
8368460,1.600694
8391153,1.276209
8454491,1.159832
8594394,0.3997295
8638901,1.325307
8639146,0.591222
8720728,0.4017437
8726128,0.3458797
8850538,0.6525664
8914246,0.7862185
9018460,0.8355073
9258505,0.7368796
9387622,0.989893
9419960,0.04727
9512329,1.231443
9649406,1.323156
9718491,0.6436768
9750756,0.2152082
9790417,0.4957107
10121084,0.7857158
10182799,0.5913303
10218902,0.2458781
10518823,1.003713
10534757,0.4774608
10622904,1.614662
10710165,1.112351
10711570,1.923526
11016199,0.5055162
11245290,0.9139988
11530017,1.290674
11592407,0.8458881
11617242,0.8524822
11777555,0.5364833
11820314,1.336448
11834030,0.4509965
11864561,0.9885995
11965237,1.135344
11989120,0.9925528
12003138,0.8761301
12125748,0.5785062
12188140,1.045528
12287149,1.077142
12357641,0.8091348
12399469,0.977486
12444832,1.233356
12545388,1.415135
12582176,0.5265892
12630963,0.432015
12638590,0.1246017
12943775,1.014437
13017585,1.281661
13025594,1.147991
13063301,0.810677
13098891,1.611366
13174850,1.019378
13212382,0.7027179
13439202,1.809853
13563912,0.5621915
13583763,0.972384
13716345,1.523974
13869152,0.9772516
13982664,2.016032
14234055,0.6379778
14280201,0.7822378
14295642,0.7060776
14531691,0.214433
14549974,0.9245189
14574757,0.6587029
14586813,1.03776
14667320,1.592003
14787986,0.9973482
14861787,1.034206
14892219,0.8417825
14961193,0.3851615
15130053,0.6250319
15249593,0.5919809
15365729,0.4437015
15394873,0.7035803
15444980,1.091162
15456486,1.121062
15482472,0.4133351
15532803,1.0598
15584514,1.846743
15639081,0.4487777
15841749,0.4196956
16409108,0.1257621
16597205,1.251711
16733603,0.7621036
16757310,0.7648501
16759294,1.511266
16890444,0.9017381
17331116,0.9564565
17389954,0.4558963
17566973,1.642467
17592745,0.4575987
17706078,1.46969
17801025,0.2662057
17823637,0.8008384
18026864,0.6344101
18079101,1.355296
18091710,0.6340784
18182910,0.2555698
18356356,0.5659417
18471923,0.5047633
18690996,0.8303741
18747345,1.629247
18859991,2.40198
18893524,1.252243
18909128,0.2024247
18930216,0.9688374
18932413,0.8713431
18941219,0.6167639
19150279,1.096407
19277045,0.3755744
19371433,0.6740624
19463948,1.063873
19467066,2.547288
19650442,0.4008028
19672699,1.828106
19681441,0.7925119
19697902,1.472139
19891393,1.446983
19997386,0.5919356
20292364,0.5510827
20336741,1.765677
20390408,0.5763555
20399953,0.7283303
20558158,2.145749
20593762,1.701966
20742138,0.4841024
20747868,0.8218931
20878757,0.5609377
20882827,0.1543798
20956511,1.880221
20966452,0.7916613
21011352,0.9213789
21037420,2.643418
21166483,0.6222106
21242162,1.723395
21281245,0.4647677
21412699,0.5931781
21426189,0.7489377
21461241,2.640515
21466992,0.4793098
21489700,0.5785366
21513439,0.7792232
21551308,0.7186001
21710609,0.9471201
21776378,0.1710966
21865372,0.893566
22054794,1.154419
22067279,0.4834511
22281508,0.9757498
22504232,0.4269937
22610299,1.398608
22755832,1.587725
22832709,0.1046849
22967988,0.5653982
22993215,2.021639
23069034,0.3368843
23145529,0.6722584
23147917,0.1968715
23265453,0.9550812
23356374,0.6490899
23370360,0.9996262
23400535,1.162736
23535052,0.6414245
23662692,1.249375
23734243,0.8831543
23769410,1.276553
23855818,0.7690575
23858411,0.5462376
23868798,0.2070346
23886419,1.10744
24128724,0.9105902
24176847,0.5009719
24251567,0.4759068
24298861,0.9110005
24318264,1.594491
24337487,0.5451043
24365388,0.8472147
24427137,0.8764428
24455695,0.5881613
24710147,2.597495
24818720,0.7844509
24860851,0.1170906
24962449,1.159554
24990275,0.9205167
25511924,2.507145
25647545,0.3946002
25744199,0.9885145
25865671,1.134322
25877654,0.4528176
25943827,0.7124687
26257320,1.97883
26357490,0.9616748
26604883,1.706504
26670890,0.7494152
26677618,0.2590471
26764536,1.363487
26910769,1.419269
26960305,1.995808
27005757,0.3175206
27169271,0.6092615
27252369,0.7816555
27440100,0.8559168
27571711,1.648005
27642093,0.9090539
27683140,1.440714
28097255,1.772996
28206548,0.2912673
28239486,0.6006945
28381729,0.2116673
28408970,1.254341
28438946,0.6830636
28509986,0.7055886
28603992,1.470582
28927415,2.211462
28949829,0.4536318
29123461,1.604772
29164643,0.4110407
29485813,0.6274573
29491227,0.4194978
29511174,0.9548666
29704411,1.752701
29727040,0.6619641
29765580,2.77395
29842050,0.2910222
