Start,Stop,Rate
1,200000,1e-09
200001,400000,1e-09
400001,600000,1e-09
600001,800000,1e-09
800001,1000000,1e-09
1000001,1200000,1e-09
1200001,1400000,1e-09
1400001,1600000,1e-09
1600001,1800000,1e-09
1800001,2000000,1e-09
2000001,2200000,1e-09
2200001,2400000,1e-09
2400001,2600000,1e-09
2600001,2800000,1e-09
2800001,3000000,1e-09
3000001,3200000,1e-09
3200001,3400000,1e-09
3400001,3600000,1e-09
3600001,3800000,1e-09
3800001,4000000,1e-09
4000001,4200000,1e-09
4200001,4400000,1e-09
4400001,4600000,1e-09
4600001,4800000,1e-09
4800001,5000000,1e-09
5000001,5200000,1.5e-08
5200001,5400000,1.5e-08
5400001,5600000,1.5e-08
5600001,5800000,1.5e-08
5800001,6000000,1.5e-08
6000001,6200000,1.5e-08
6200001,6400000,1.5e-08
6400001,6600000,1.5e-08
6600001,6800000,1.5e-08
6800001,7000000,1.5e-08
7000001,7200000,1.5e-08
7200001,7400000,1.5e-08
7400001,7600000,1.5e-08
7600001,7800000,1.5e-08
7800001,8000000,1.5e-08
8000001,8200000,1.5e-08
8200001,8400000,1.5e-08
8400001,8600000,1.5e-08
8600001,8800000,1.5e-08
8800001,9000000,1.5e-08
9000001,9200000,1.5e-08
9200001,9400000,1.5e-08
9400001,9600000,1.5e-08
9600001,9800000,1.5e-08
9800001,10000000,1.5e-08
10000001,10200000,1e-09
10200001,10400000,1e-09
10400001,10600000,1e-09
10600001,10800000,1e-09
10800001,11000000,1e-09
11000001,11200000,1e-09
11200001,11400000,1e-09
11400001,11600000,1e-09
11600001,11800000,1e-09
11800001,12000000,1e-09
12000001,12200000,1e-09
12200001,12400000,1e-09
12400001,12600000,1e-09
12600001,12800000,1e-09
12800001,13000000,1e-09
13000001,13200000,1e-09
13200001,13400000,1e-09
13400001,13600000,1e-09
13600001,13800000,1e-09
13800001,14000000,1e-09
14000001,14200000,1e-09
14200001,14400000,1e-09
14400001,14600000,1e-09
14600001,14800000,1e-09
14800001,15000000,1e-09
15000001,15200000,1.5e-08
15200001,15400000,1.5e-08
15400001,15600000,1.5e-08
15600001,15800000,1.5e-08
15800001,16000000,1.5e-08
16000001,16200000,1.5e-08
16200001,16400000,1.5e-08
16400001,16600000,1.5e-08
16600001,16800000,1.5e-08
16800001,17000000,1.5e-08
17000001,17200000,1.5e-08
17200001,17400000,1.5e-08
17400001,17600000,1.5e-08
17600001,17800000,1.5e-08
17800001,18000000,1.5e-08
18000001,18200000,1.5e-08
18200001,18400000,1.5e-08
18400001,18600000,1.5e-08
18600001,18800000,1.5e-08
18800001,19000000,1.5e-08
19000001,19200000,1.5e-08
19200001,19400000,1.5e-08
19400001,19600000,1.5e-08
19600001,19800000,1.5e-08
19800001,20000000,1.5e-08
20000001,20200000,1e-09
20200001,20400000,1e-09
20400001,20600000,1e-09
20600001,20800000,1e-09
20800001,21000000,1e-09
21000001,21200000,1e-09
21200001,21400000,1e-09
21400001,21600000,1e-09
21600001,21800000,1e-09
21800001,22000000,1e-09
22000001,22200000,1e-09
22200001,22400000,1e-09
22400001,22600000,1e-09
22600001,22800000,1e-09
22800001,23000000,1e-09
23000001,23200000,1e-09
23200001,23400000,1e-09
23400001,23600000,1e-09
23600001,23800000,1e-09
23800001,24000000,1e-09
24000001,24200000,1e-09
24200001,24400000,1e-09
24400001,24600000,1e-09
24600001,24800000,1e-09
24800001,25000000,1e-09
25000001,25200000,1.5e-08
25200001,25400000,1.5e-08
25400001,25600000,1.5e-08
25600001,25800000,1.5e-08
25800001,26000000,1.5e-08
26000001,26200000,1.5e-08
26200001,26400000,1.5e-08
26400001,26600000,1.5e-08
26600001,26800000,1.5e-08
26800001,27000000,1.5e-08
27000001,27200000,1.5e-08
27200001,27400000,1.5e-08
27400001,27600000,1.5e-08
27600001,27800000,1.5e-08
27800001,28000000,1.5e-08
28000001,28200000,1.5e-08
28200001,28400000,1.5e-08
28400001,28600000,1.5e-08
28600001,28800000,1.5e-08
28800001,29000000,1.5e-08
29000001,29200000,1.5e-08
29200001,29400000,1.5e-08
29400001,29600000,1.5e-08
29600001,29800000,1.5e-08
29800001,30000000,1.5e-08
